Array_No,Type,Size,Passes,Comparisons,Shifts
202,S,411,410,84255,39454
203,S,411,410,84255,40879
204,S,411,410,84255,42871
205,S,411,410,84255,42202
206,S,411,410,84255,42347
207,S,411,410,84255,41914
208,S,411,410,84255,43642
209,A,411,410,84255,0
210,D,411,410,84255,84171
AVG,AVG,411,410,84255,41961.2
211,S,190,189,17955,8810
212,S,190,189,17955,8994
213,S,190,189,17955,9842
214,S,190,189,17955,9091
215,S,190,189,17955,8455
216,S,190,189,17955,9034
217,S,190,189,17955,9679
218,S,190,189,17955,8297
219,A,190,189,17955,0
220,D,190,189,17955,17944
AVG,AVG,190,189,17955,9014.6
221,S,838,837,350703,176184
222,S,838,837,350703,181986
223,S,838,837,350703,173444
224,S,838,837,350703,174605
225,S,838,837,350703,172031
226,S,838,837,350703,173837
227,S,838,837,350703,176619
228,S,838,837,350703,178765
229,A,838,837,350703,0
230,D,838,837,350703,350316
AVG,AVG,838,837,350703,175779
231,S,305,304,46360,24518
232,S,305,304,46360,23914
233,S,305,304,46360,22355
234,S,305,304,46360,22679
235,S,305,304,46360,22885
236,S,305,304,46360,23914
237,S,305,304,46360,22676
238,S,305,304,46360,24772
239,A,305,304,46360,0
240,D,305,304,46360,46313
AVG,AVG,305,304,46360,23402.6
241,S,343,342,58653,30062
242,S,343,342,58653,30862
243,S,343,342,58653,27146
244,S,343,342,58653,30549
245,S,343,342,58653,30590
246,S,343,342,58653,28336
247,S,343,342,58653,29888
248,S,343,342,58653,29120
249,A,343,342,58653,0
250,D,343,342,58653,58604
AVG,AVG,343,342,58653,29515.7
251,S,375,374,70125,33890
252,S,375,374,70125,35586
253,S,375,374,70125,33110
254,S,375,374,70125,36988
255,S,375,374,70125,34611
256,S,375,374,70125,35004
257,S,375,374,70125,36890
258,S,375,374,70125,35857
259,A,375,374,70125,0
260,D,375,374,70125,70071
AVG,AVG,375,374,70125,35200.7
261,S,245,244,29890,14574
262,S,245,244,29890,14741
263,S,245,244,29890,15487
264,S,245,244,29890,15255
265,S,245,244,29890,13920
266,S,245,244,29890,14666
267,S,245,244,29890,15621
268,S,245,244,29890,15059
269,A,245,244,29890,0
270,D,245,244,29890,29862
AVG,AVG,245,244,29890,14918.5
271,S,129,128,8256,3981
272,S,129,128,8256,3792
273,S,129,128,8256,3958
274,S,129,128,8256,4221
275,S,129,128,8256,4043
276,S,129,128,8256,4509
277,S,129,128,8256,4589
278,S,129,128,8256,4234
279,A,129,128,8256,0
280,D,129,128,8256,8244
AVG,AVG,129,128,8256,4157.1
281,S,985,984,484620,246904
282,S,985,984,484620,244376
283,S,985,984,484620,237982
284,S,985,984,484620,239234
285,S,985,984,484620,244358
286,S,985,984,484620,243533
287,S,985,984,484620,249719
288,S,985,984,484620,236051
289,A,985,984,484620,0
290,D,985,984,484620,484138
AVG,AVG,985,984,484620,242630
291,S,604,603,182106,92607
292,S,604,603,182106,94502
293,S,604,603,182106,90098
294,S,604,603,182106,88652
295,S,604,603,182106,87794
296,S,604,603,182106,91203
297,S,604,603,182106,89495
298,S,604,603,182106,92203
299,A,604,603,182106,0
300,D,604,603,182106,181907
AVG,AVG,604,603,182106,90846.1
301,S,92,91,4186,2034
302,S,92,91,4186,2449
303,S,92,91,4186,2257
304,S,92,91,4186,1829
305,S,92,91,4186,2092
306,S,92,91,4186,2343
307,S,92,91,4186,2005
308,S,92,91,4186,1967
309,A,92,91,4186,0
310,D,92,91,4186,4181
AVG,AVG,92,91,4186,2115.7
311,S,853,852,363378,186962
312,S,853,852,363378,185050
313,S,853,852,363378,180169
314,S,853,852,363378,179274
315,S,853,852,363378,180978
316,S,853,852,363378,184219
317,S,853,852,363378,181622
318,S,853,852,363378,180762
319,A,853,852,363378,0
320,D,853,852,363378,363030
AVG,AVG,853,852,363378,182207
321,S,439,438,96141,49132
322,S,439,438,96141,47351
323,S,439,438,96141,48215
324,S,439,438,96141,47633
325,S,439,438,96141,48050
326,S,439,438,96141,47481
327,S,439,438,96141,46157
328,S,439,438,96141,50777
329,A,439,438,96141,0
330,D,439,438,96141,96039
AVG,AVG,439,438,96141,48083.5
331,S,166,165,13695,6198
332,S,166,165,13695,6719
333,S,166,165,13695,6724
334,S,166,165,13695,7027
335,S,166,165,13695,7629
336,S,166,165,13695,6372
337,S,166,165,13695,6339
338,S,166,165,13695,7228
339,A,166,165,13695,0
340,D,166,165,13695,13682
AVG,AVG,166,165,13695,6791.8
341,S,775,774,299925,147248
342,S,775,774,299925,154927
343,S,775,774,299925,154550
344,S,775,774,299925,142159
345,S,775,774,299925,151781
346,S,775,774,299925,148897
347,S,775,774,299925,151534
348,S,775,774,299925,143892
349,A,775,774,299925,0
350,D,775,774,299925,299655
AVG,AVG,775,774,299925,149464
351,S,982,981,481671,235603
352,S,982,981,481671,231525
353,S,982,981,481671,238425
354,S,982,981,481671,237387
355,S,982,981,481671,229282
356,S,982,981,481671,250998
357,S,982,981,481671,239176
358,S,982,981,481671,240175
359,A,982,981,481671,0
360,D,982,981,481671,481161
AVG,AVG,982,981,481671,238373
361,S,394,393,77421,38034
362,S,394,393,77421,39957
363,S,394,393,77421,40796
364,S,394,393,77421,37641
365,S,394,393,77421,38525
366,S,394,393,77421,38804
367,S,394,393,77421,40679
368,S,394,393,77421,38703
369,A,394,393,77421,0
370,D,394,393,77421,77351
AVG,AVG,394,393,77421,39049
371,S,815,814,331705,167138
372,S,815,814,331705,166400
373,S,815,814,331705,158161
374,S,815,814,331705,165061
375,S,815,814,331705,166504
376,S,815,814,331705,168109
377,S,815,814,331705,167808
378,S,815,814,331705,162690
379,A,815,814,331705,0
380,D,815,814,331705,331378
AVG,AVG,815,814,331705,165325
381,S,904,903,408156,206656
382,S,904,903,408156,197167
383,S,904,903,408156,205970
384,S,904,903,408156,203032
385,S,904,903,408156,208854
386,S,904,903,408156,200927
387,S,904,903,408156,191763
388,S,904,903,408156,208400
389,A,904,903,408156,0
390,D,904,903,408156,407795
AVG,AVG,904,903,408156,203056
391,S,394,393,77421,39286
392,S,394,393,77421,40759
393,S,394,393,77421,37820
394,S,394,393,77421,39309
395,S,394,393,77421,37934
396,S,394,393,77421,40396
397,S,394,393,77421,37899
398,S,394,393,77421,40350
399,A,394,393,77421,0
400,D,394,393,77421,77343
AVG,AVG,394,393,77421,39109.6
401,S,914,913,417241,210020
402,S,914,913,417241,209402
403,S,914,913,417241,201340
404,S,914,913,417241,206193
405,S,914,913,417241,205927
406,S,914,913,417241,204600
407,S,914,913,417241,210411
408,S,914,913,417241,219442
409,A,914,913,417241,0
410,D,914,913,417241,416831
AVG,AVG,914,913,417241,208417
411,S,738,737,271953,133785
412,S,738,737,271953,135787
413,S,738,737,271953,140455
414,S,738,737,271953,137004
415,S,738,737,271953,132091
416,S,738,737,271953,138992
417,S,738,737,271953,138954
418,S,738,737,271953,135999
419,A,738,737,271953,0
420,D,738,737,271953,271690
AVG,AVG,738,737,271953,136476
421,S,159,158,12561,6149
422,S,159,158,12561,5854
423,S,159,158,12561,6736
424,S,159,158,12561,6484
425,S,159,158,12561,6411
426,S,159,158,12561,6576
427,S,159,158,12561,7198
428,S,159,158,12561,5804
429,A,159,158,12561,0
430,D,159,158,12561,12549
AVG,AVG,159,158,12561,6376.1
431,S,737,736,271216,127094
432,S,737,736,271216,128719
433,S,737,736,271216,130320
434,S,737,736,271216,137840
435,S,737,736,271216,137282
436,S,737,736,271216,131033
437,S,737,736,271216,134884
438,S,737,736,271216,134844
439,A,737,736,271216,0
440,D,737,736,271216,270932
AVG,AVG,737,736,271216,133295
441,S,585,584,170820,88170
442,S,585,584,170820,84480
443,S,585,584,170820,87824
444,S,585,584,170820,82217
445,S,585,584,170820,83450
446,S,585,584,170820,86028
447,S,585,584,170820,86462
448,S,585,584,170820,83675
449,A,585,584,170820,0
450,D,585,584,170820,170655
AVG,AVG,585,584,170820,85296.1
451,S,814,813,330891,167082
452,S,814,813,330891,169235
453,S,814,813,330891,173390
454,S,814,813,330891,166355
455,S,814,813,330891,161101
456,S,814,813,330891,163424
457,S,814,813,330891,170320
458,S,814,813,330891,163987
459,A,814,813,330891,0
460,D,814,813,330891,330553
AVG,AVG,814,813,330891,166545
461,S,218,217,23653,12468
462,S,218,217,23653,12576
463,S,218,217,23653,13067
464,S,218,217,23653,12795
465,S,218,217,23653,12325
466,S,218,217,23653,12001
467,S,218,217,23653,10866
468,S,218,217,23653,10975
469,A,218,217,23653,0
470,D,218,217,23653,23628
AVG,AVG,218,217,23653,12070.1
471,S,890,889,395605,201884
472,S,890,889,395605,198667
473,S,890,889,395605,199357
474,S,890,889,395605,201712
475,S,890,889,395605,194750
476,S,890,889,395605,197631
477,S,890,889,395605,193305
478,S,890,889,395605,191244
479,A,890,889,395605,0
480,D,890,889,395605,395199
AVG,AVG,890,889,395605,197375
481,S,411,410,84255,41083
482,S,411,410,84255,41450
483,S,411,410,84255,43946
484,S,411,410,84255,41870
485,S,411,410,84255,40179
486,S,411,410,84255,41854
487,S,411,410,84255,42923
488,S,411,410,84255,40238
489,A,411,410,84255,0
490,D,411,410,84255,84167
AVG,AVG,411,410,84255,41771
491,S,359,358,64261,32096
492,S,359,358,64261,31274
493,S,359,358,64261,31883
494,S,359,358,64261,32528
495,S,359,358,64261,33801
496,S,359,358,64261,30656
497,S,359,358,64261,31093
498,S,359,358,64261,32424
499,A,359,358,64261,0
500,D,359,358,64261,64195
AVG,AVG,359,358,64261,31995
501,S,283,282,39903,20442
502,S,283,282,39903,19804
503,S,283,282,39903,20704
504,S,283,282,39903,21303
505,S,283,282,39903,20306
506,S,283,282,39903,18695
507,S,283,282,39903,19395
508,S,283,282,39903,20294
509,A,283,282,39903,0
510,D,283,282,39903,39863
AVG,AVG,283,282,39903,20080.6
511,S,317,316,50086,24450
512,S,317,316,50086,25268
513,S,317,316,50086,25067
514,S,317,316,50086,25459
515,S,317,316,50086,24451
516,S,317,316,50086,24923
517,S,317,316,50086,25991
518,S,317,316,50086,25323
519,A,317,316,50086,0
520,D,317,316,50086,50042
AVG,AVG,317,316,50086,25097.4
521,S,579,578,167331,82782
522,S,579,578,167331,79632
523,S,579,578,167331,87140
524,S,579,578,167331,80706
525,S,579,578,167331,85605
526,S,579,578,167331,86424
527,S,579,578,167331,80744
528,S,579,578,167331,81005
529,A,579,578,167331,0
530,D,579,578,167331,167194
AVG,AVG,579,578,167331,83123.2
531,S,895,894,400065,196352
532,S,895,894,400065,201419
533,S,895,894,400065,207046
534,S,895,894,400065,199736
535,S,895,894,400065,200959
536,S,895,894,400065,188297
537,S,895,894,400065,189439
538,S,895,894,400065,199322
539,A,895,894,400065,0
540,D,895,894,400065,399627
AVG,AVG,895,894,400065,198220
541,S,168,167,14028,6343
542,S,168,167,14028,6997
543,S,168,167,14028,6934
544,S,168,167,14028,6351
