Array_No,Type,Size,Comparisons,Swaps
237,S,305,2534,812
238,S,305,2928,1415
239,A,305,46360,0
240,D,305,41429,166
AVG,AVG,305,10919,960.2
241,S,343,3230,1255
242,S,343,2868,1535
243,S,343,3135,1167
244,S,343,3014,1230
245,S,343,2741,1206
246,S,343,3407,1147
247,S,343,2945,1230
248,S,343,3283,1758
249,A,343,58653,0
250,D,343,53265,187
AVG,AVG,343,13654.1,1071.5
251,S,375,3298,1350
252,S,375,3989,1971
253,S,375,3403,1715
254,S,375,3394,1675
255,S,375,3373,1450
256,S,375,3200,1522
257,S,375,3074,1339
258,S,375,3673,1371
259,A,375,70125,0
260,D,375,59480,210
AVG,AVG,375,15700.9,1260.3
261,S,245,2035,852
262,S,245,2080,771
263,S,245,2141,1010
264,S,245,1898,849
265,S,245,2012,945
266,S,245,1938,825
267,S,245,1902,953
268,S,245,1914,819
269,A,245,29890,0
270,D,245,27796,132
AVG,AVG,245,7360.6,715.6
271,S,129,752,323
272,S,129,897,436
273,S,129,806,380
274,S,129,886,359
275,S,129,881,440
276,S,129,815,308
277,S,129,931,347
278,S,129,1027,405
279,A,129,8256,0
280,D,129,7421,71
AVG,AVG,129,2267.2,306.9
281,S,985,12602,5222
282,S,985,10822,4569
283,S,985,10505,5035
284,S,985,11734,5804
285,S,985,11145,4463
286,S,985,10423,5168
287,S,985,11987,6012
288,S,985,9982,4381
289,A,985,484620,0
290,D,985,315580,610
AVG,AVG,985,88940,4126.4
291,S,604,5668,2396
292,S,604,5747,2823
293,S,604,5927,2831
294,S,604,5908,2742
295,S,604,7063,3235
296,S,604,5474,2523
297,S,604,5725,2327
298,S,604,5803,2429
299,A,604,182106,0
300,D,604,142855,357
AVG,AVG,604,37227.6,2166.3
301,S,92,647,277
302,S,92,670,237
303,S,92,554,235
304,S,92,648,260
305,S,92,606,273
306,S,92,652,370
307,S,92,560,291
308,S,92,585,289
309,A,92,4186,0
310,D,92,3944,49
AVG,AVG,92,1305.2,228.1
311,S,853,8463,3589
312,S,853,8553,4173
313,S,853,9329,4127
314,S,853,9488,4182
315,S,853,9007,4048
316,S,853,10357,3707
317,S,853,8609,3421
318,S,853,8978,4626
319,A,853,363378,0
320,D,853,276533,502
AVG,AVG,853,71269.5,3237.5
321,S,439,4306,1881
322,S,439,4200,1599
323,S,439,3765,1611
324,S,439,4165,2203
325,S,439,4093,1846
326,S,439,4071,1863
327,S,439,4599,2101
328,S,439,3981,1665
329,A,439,96141,0
330,D,439,76667,257
AVG,AVG,439,20598.8,1502.6
331,S,166,1169,545
332,S,166,1174,548
333,S,166,1136,559
334,S,166,1266,494
335,S,166,1410,442
336,S,166,1436,636
337,S,166,1216,670
338,S,166,1265,693
339,A,166,13695,0
340,D,166,13001,90
AVG,AVG,166,3676.8,467.7
341,S,775,7638,3280
342,S,775,8068,3327
343,S,775,8243,4016
344,S,775,8519,3515
345,S,775,7550,3774
346,S,775,8210,3651
347,S,775,8248,3881
348,S,775,8373,3150
349,A,775,299925,0
350,D,775,220425,469
AVG,AVG,775,58519.9,2906.3
351,S,982,10672,4747
352,S,982,10283,4898
353,S,982,10896,5222
354,S,982,11017,4771
355,S,982,10544,4672
356,S,982,10706,5389
357,S,982,10087,4569
358,S,982,10834,4388
359,A,982,481671,0
360,D,982,309932,621
AVG,AVG,982,87664.2,3927.7
361,S,394,3859,1910
362,S,394,3872,1830
363,S,394,3819,1808
364,S,394,3940,1880
365,S,394,3561,1755
366,S,394,3658,1852
367,S,394,4062,1487
368,S,394,3733,1370
369,A,394,77421,0
370,D,394,62377,229
AVG,AVG,394,17030.2,1412.1
371,S,815,8062,3525
372,S,815,8658,4319
373,S,815,8618,4472
374,S,815,8776,3845
375,S,815,9176,5089
376,S,815,8186,3438
377,S,815,8319,3335
378,S,815,9021,3872
379,A,815,331705,0
380,D,815,238606,492
AVG,AVG,815,63912.7,3238.7
381,S,904,10247,3911
382,S,904,9810,3532
383,S,904,10686,4926
384,S,904,9276,4175
385,S,904,10049,3958
386,S,904,9094,4113
387,S,904,9702,4295
388,S,904,9997,3864
389,A,904,408156,0
390,D,904,293481,541
AVG,AVG,904,78049.8,3331.5
391,S,394,4193,1363
392,S,394,3793,1643
393,S,394,3427,1396
394,S,394,3660,1494
395,S,394,3373,1673
396,S,394,3343,1536
397,S,394,3473,1475
398,S,394,3703,1569
399,A,394,77421,0
400,D,394,63833,228
AVG,AVG,394,17021.9,1237.7
401,S,914,11121,5014
402,S,914,10345,4528
403,S,914,9690,3586
404,S,914,9131,4272
405,S,914,9265,4568
406,S,914,9200,3822
407,S,914,8814,3784
408,S,914,10249,4399
409,A,914,417241,0
410,D,914,297327,556
AVG,AVG,914,79238.3,3452.9
411,S,738,6879,2814
412,S,738,8382,3642
413,S,738,7978,3762
414,S,738,7292,2748
415,S,738,7220,2899
416,S,738,8221,3369
417,S,738,7512,3636
418,S,738,7682,3350
419,A,738,271953,0
420,D,738,205841,437
AVG,AVG,738,53896,2665.7
421,S,159,1132,391
422,S,159,1280,640
423,S,159,1054,471
424,S,159,1031,523
425,S,159,1346,562
426,S,159,1147,496
427,S,159,1152,577
428,S,159,1166,470
429,A,159,12561,0
430,D,159,11387,84
AVG,AVG,159,3325.6,421.4
431,S,737,7853,3622
432,S,737,8692,3686
433,S,737,7701,3543
434,S,737,8268,4028
435,S,737,6938,3008
436,S,737,8006,3499
437,S,737,8283,4061
438,S,737,7433,3825
439,A,737,271216,0
440,D,737,216989,424
AVG,AVG,737,55137.9,2969.6
441,S,585,6046,2471
442,S,585,5431,2290
443,S,585,5457,2668
444,S,585,5819,2826
445,S,585,5462,2549
446,S,585,5578,2590
447,S,585,5819,2344
448,S,585,5805,2706
449,A,585,170820,0
450,D,585,137372,340
AVG,AVG,585,35360.9,2078.4
451,S,814,8180,3511
452,S,814,9279,3497
453,S,814,8884,4022
454,S,814,9312,3560
455,S,814,8767,3902
456,S,814,8923,4570
457,S,814,9854,4503
458,S,814,8801,4479
459,A,814,330891,0
460,D,814,238300,497
AVG,AVG,814,64119.1,3254.1
461,S,218,1817,881
462,S,218,1540,686
463,S,218,1630,768
464,S,218,2001,920
465,S,218,1539,654
466,S,218,1945,900
467,S,218,1773,815
468,S,218,1617,670
469,A,218,23653,0
470,D,218,21393,119
AVG,AVG,218,5890.8,641.3
471,S,890,10086,3978
472,S,890,8743,3660
473,S,890,10478,4804
474,S,890,9449,3748
475,S,890,8936,3664
476,S,890,11205,5186
477,S,890,9423,4243
478,S,890,9588,3897
479,A,890,395605,0
480,D,890,277195,537
AVG,AVG,890,75070.8,3371.7
481,S,411,3417,1393
482,S,411,3849,1550
483,S,411,3575,1641
484,S,411,3388,1500
485,S,411,3888,1518
486,S,411,3698,1486
487,S,411,4002,1727
488,S,411,3473,1599
489,A,411,84255,0
490,D,411,69692,234
AVG,AVG,411,18323.7,1264.8
491,S,359,3014,1457
492,S,359,2971,1394
493,S,359,3039,1254
494,S,359,3143,1439
495,S,359,3045,1303
496,S,359,2938,1386
497,S,359,3196,1534
498,S,359,3422,1487
499,A,359,64261,0
500,D,359,55915,202
AVG,AVG,359,14494.4,1145.6
501,S,283,2509,838
502,S,283,2528,1132
503,S,283,2327,1186
504,S,283,2625,1249
505,S,283,2242,801
506,S,283,2238,898
507,S,283,2188,1007
508,S,283,2578,852
509,A,283,39903,0
510,D,283,34711,159
AVG,AVG,283,9384.9,812.2
511,S,317,2499,1079
512,S,317,2721,1172
513,S,317,2446,1200
514,S,317,2744,1280
515,S,317,2661,1231
516,S,317,2637,1305
517,S,317,2787,1127
518,S,317,3297,1350
519,A,317,50086,0
520,D,317,46384,167
AVG,AVG,317,11826.2,991.1
521,S,579,5500,2204
522,S,579,5627,2634
523,S,579,5572,2233
524,S,579,5227,2417
525,S,579,5366,2633
526,S,579,5772,2812
527,S,579,5426,2271
528,S,579,5411,2643
529,A,579,167331,0
530,D,579,138039,335
AVG,AVG,579,34927.1,2018.2
531,S,895,9298,3857
532,S,895,9187,4140
533,S,895,9694,4011
534,S,895,9446,4446
535,S,895,10195,4525
536,S,895,10506,5288
537,S,895,10098,4694
538,S,895,8896,4093
539,A,895,400065,0
540,D,895,277257,539
AVG,AVG,895,75464.2,3559.3
541,S,168,1363,797
542,S,168,1329,409
543,S,168,1256,466
544,S,168,1239,708
545,S,168,1259,491
546,S,168,1182,530
547,S,168,1057,504
548,S,168,1268,491
549,A,168,14028,0
550,D,168,13160,90
AVG,AVG,168,3714.1,448.6
551,S,200,1515,630
552,S,200,1564,580
553,S,200,1594,597
554,S,200,1647,738
555,S,200,1698,635
556,S,200,1485,772
557,S,200,1861,748
558,S,200,1644,711
559,A,200,19900,0
560,D,200,18306,109
AVG,AVG,200,5121.4,552
561,S,358,3296,1644
562,S,358,3290,1387
563,S,358,3547,1451
564,S,358,2915,1504
565,S,358,3144,1569
566,S,358,3074,1331
567,S,358,3583,1914
568,S,358,3077,1264
569,A,358,63903,0
570,D,358,55533,202
AVG,AVG,358,14536.2,1226.6
571,S,604,6120,2281
572,S,604,5836,2840
573,S,604,6514,2986
574,S,604,5804,2851
575,S,604,5757,2663
576,S,604,5718,2829
577,S,604,6148,2864
578,S,604,5478,2353
579,A,604,182106,0
580,D,604,142378,346
AVG,AVG,604,37185.9,2201.3
581,S,342,3145,1154
582,S,342,2929,1271
583,S,342,2953,1123
584,S,342,3028,1619
585,S,342,3331,1909
586,S,342,2935,1259
587,S,342,2874,1034
588,S,342,3337,1211
589,A,342,58311,0
