Array_No,Type,Size,Comparisons,Swaps
AVG,AVG,838,13721.4,7390.4
231,S,305,4118,2259
232,S,305,4105,2248
233,S,305,4104,2270
234,S,305,4086,2255
235,S,305,4081,2246
236,S,305,4088,2230
237,S,305,4109,2256
238,S,305,4099,2238
239,A,305,4315,2449
240,D,305,3846,2036
AVG,AVG,305,4095.1,2248.7
241,S,343,4771,2607
242,S,343,4725,2571
243,S,343,4724,2599
244,S,343,4732,2585
245,S,343,4731,2594
246,S,343,4750,2601
247,S,343,4762,2607
248,S,343,4743,2604
249,A,343,4977,2812
250,D,343,4437,2336
AVG,AVG,343,4735.2,2591.6
251,S,375,5285,2884
252,S,375,5280,2875
253,S,375,5317,2914
254,S,375,5271,2869
255,S,375,5292,2896
256,S,375,5283,2885
257,S,375,5262,2861
258,S,375,5263,2871
259,A,375,5530,3102
260,D,375,4958,2614
AVG,AVG,375,5274.1,2877.1
261,S,245,3110,1703
262,S,245,3126,1714
263,S,245,3138,1733
264,S,245,3115,1725
265,S,245,3158,1743
266,S,245,3138,1720
267,S,245,3155,1735
268,S,245,3157,1741
269,A,245,3278,1870
270,D,245,2934,1556
AVG,AVG,245,3130.9,1724
271,S,129,1416,797
272,S,129,1408,788
273,S,129,1395,790
274,S,129,1433,803
275,S,129,1421,804
276,S,129,1421,788
277,S,129,1401,777
278,S,129,1421,803
279,A,129,1474,864
280,D,129,1309,703
AVG,AVG,129,1409.9,791.7
281,S,985,16557,8922
282,S,985,16505,8883
283,S,985,16585,8925
284,S,985,16530,8898
285,S,985,16561,8915
286,S,985,16519,8917
287,S,985,16549,8907
288,S,985,16606,8947
289,A,985,17249,9490
290,D,985,15726,8218
AVG,AVG,985,16538.7,8902.2
291,S,604,9315,5050
292,S,604,9335,5055
293,S,604,9328,5060
294,S,604,9309,5056
295,S,604,9317,5078
296,S,604,9335,5057
297,S,604,9324,5083
298,S,604,9282,5032
299,A,604,9768,5431
300,D,604,8802,4613
AVG,AVG,604,9311.5,5051.5
301,S,92,933,534
302,S,92,920,515
303,S,92,916,512
304,S,92,929,531
305,S,92,926,526
306,S,92,918,524
307,S,92,929,522
308,S,92,919,524
309,A,92,974,573
310,D,92,857,466
AVG,AVG,92,922.1,522.7
311,S,853,13993,7563
312,S,853,14037,7565
313,S,853,14018,7559
314,S,853,14026,7578
315,S,853,14027,7549
316,S,853,14020,7567
317,S,853,13995,7557
318,S,853,14062,7570
319,A,853,14658,8097
320,D,853,13284,6985
AVG,AVG,853,14012,7559
321,S,439,6382,3489
322,S,439,6380,3479
323,S,439,6349,3476
324,S,439,6347,3450
325,S,439,6366,3455
326,S,439,6381,3489
327,S,439,6387,3498
328,S,439,6309,3421
329,A,439,6665,3729
330,D,439,6003,3155
AVG,AVG,439,6356.9,3464.1
331,S,166,1947,1087
332,S,166,1944,1084
333,S,166,1933,1076
334,S,166,1957,1100
335,S,166,1945,1074
336,S,166,1948,1095
337,S,166,1953,1093
338,S,166,1941,1084
339,A,166,2053,1186
340,D,166,1807,964
AVG,AVG,166,1942.8,1084.3
341,S,775,12572,6813
342,S,775,12511,6759
343,S,775,12548,6763
344,S,775,12567,6815
345,S,775,12578,6788
346,S,775,12546,6760
347,S,775,12539,6783
348,S,775,12498,6761
349,A,775,13102,7227
350,D,775,11812,6189
AVG,AVG,775,12527.3,6765.8
351,S,982,16490,8870
352,S,982,16530,8938
353,S,982,16540,8908
354,S,982,16487,8879
355,S,982,16501,8894
356,S,982,16550,8912
357,S,982,16537,8913
358,S,982,16528,8908
359,A,982,17194,9451
360,D,982,15638,8136
AVG,AVG,982,16499.5,8880.9
361,S,394,5576,3054
362,S,394,5601,3078
363,S,394,5624,3064
364,S,394,5578,3045
365,S,394,5625,3073
366,S,394,5608,3073
367,S,394,5614,3066
368,S,394,5595,3064
369,A,394,5876,3299
370,D,394,5248,2774
AVG,AVG,394,5594.5,3059
371,S,815,13284,7157
372,S,815,13291,7173
373,S,815,13383,7253
374,S,815,13320,7184
375,S,815,13267,7165
376,S,815,13288,7160
377,S,815,13279,7165
378,S,815,13298,7174
379,A,815,13899,7683
380,D,815,12565,6573
AVG,AVG,815,13287.4,7168.7
381,S,904,15013,8080
382,S,904,14967,8074
383,S,904,14946,8047
384,S,904,15003,8108
385,S,904,14997,8098
386,S,904,15024,8119
387,S,904,15036,8127
388,S,904,15008,8083
389,A,904,15665,8646
390,D,904,14217,7415
AVG,AVG,904,14987.6,8079.7
391,S,394,5596,3063
392,S,394,5570,3035
393,S,394,5637,3085
394,S,394,5583,3054
395,S,394,5622,3077
396,S,394,5603,3047
397,S,394,5659,3090
398,S,394,5585,3042
399,A,394,5869,3294
400,D,394,5240,2773
AVG,AVG,394,5596.4,3056
401,S,914,15186,8191
402,S,914,15175,8185
403,S,914,15179,8188
404,S,914,15217,8205
405,S,914,15231,8224
406,S,914,15197,8182
407,S,914,15188,8183
408,S,914,15212,8201
409,A,914,15842,8732
410,D,914,14442,7536
AVG,AVG,914,15186.9,8182.7
411,S,738,11852,6414
412,S,738,11868,6420
413,S,738,11844,6403
414,S,738,11812,6401
415,S,738,11859,6424
416,S,738,11850,6397
417,S,738,11801,6383
418,S,738,11807,6400
419,A,738,12381,6848
420,D,738,11187,5840
AVG,AVG,738,11826.1,6393
421,S,159,1837,1026
422,S,159,1849,1037
423,S,159,1844,1021
424,S,159,1829,1019
425,S,159,1846,1022
426,S,159,1840,1017
427,S,159,1830,1018
428,S,159,1836,1031
429,A,159,1943,1126
430,D,159,1707,918
AVG,AVG,159,1836.1,1023.5
431,S,737,11921,6465
432,S,737,11804,6386
433,S,737,11823,6373
434,S,737,11795,6382
435,S,737,11800,6393
436,S,737,11887,6441
437,S,737,11774,6367
438,S,737,11834,6391
439,A,737,12375,6855
440,D,737,11113,5835
AVG,AVG,737,11812.6,6388.8
441,S,585,8956,4848
442,S,585,9021,4915
443,S,585,8960,4851
444,S,585,8969,4884
445,S,585,8981,4883
446,S,585,8997,4868
447,S,585,8971,4883
448,S,585,8959,4869
449,A,585,9385,5231
450,D,585,8460,4430
AVG,AVG,585,8965.9,4866.2
451,S,814,13292,7187
452,S,814,13292,7173
453,S,814,13319,7201
454,S,814,13273,7171
455,S,814,13281,7195
456,S,814,13294,7184
457,S,814,13276,7164
458,S,814,13271,7156
459,A,814,13893,7680
460,D,814,12586,6573
AVG,AVG,814,13277.7,7168.4
461,S,218,2734,1503
462,S,218,2713,1496
463,S,218,2743,1508
464,S,218,2711,1496
465,S,218,2722,1499
466,S,218,2714,1492
467,S,218,2733,1518
468,S,218,2749,1518
469,A,218,2852,1631
470,D,218,2540,1347
AVG,AVG,218,2721.1,1500.8
471,S,890,14686,7928
472,S,890,14718,7933
473,S,890,14764,7988
474,S,890,14752,7973
475,S,890,14676,7897
476,S,890,14737,7950
477,S,890,14732,7950
478,S,890,14753,7976
479,A,890,15397,8505
480,D,890,13970,7269
AVG,AVG,890,14718.5,7936.9
481,S,411,5930,3246
482,S,411,5893,3221
483,S,411,5918,3224
484,S,411,5898,3226
485,S,411,5866,3208
486,S,411,5890,3201
487,S,411,5896,3220
488,S,411,5899,3227
489,A,411,6170,3463
490,D,411,5537,2900
AVG,AVG,411,5889.7,3213.6
491,S,359,4987,2726
492,S,359,5011,2737
493,S,359,5008,2742
494,S,359,5006,2746
495,S,359,5012,2732
496,S,359,5025,2751
497,S,359,5019,2764
498,S,359,4992,2740
499,A,359,5254,2957
500,D,359,4688,2462
AVG,AVG,359,5000.2,2735.7
501,S,283,3738,2045
502,S,283,3756,2067
503,S,283,3729,2032
