Array_No,Type,Size,Passes,Comparisons,Shifts
202,S,411,410,39861,39454
203,S,411,410,41283,40879
204,S,411,410,43275,42871
205,S,411,410,42603,42202
206,S,411,410,42752,42347
207,S,411,410,42317,41914
208,S,411,410,44049,43642
209,A,411,410,410,0
210,D,411,410,84249,84171
AVG,AVG,411,410,42333.2,41961.2
211,S,190,189,8993,8810
212,S,190,189,9175,8994
213,S,190,189,10023,9842
214,S,190,189,9272,9091
215,S,190,189,8638,8455
216,S,190,189,9216,9034
217,S,190,189,9865,9679
218,S,190,189,8481,8297
219,A,190,189,189,0
220,D,190,189,17955,17944
AVG,AVG,190,189,9180.7,9014.6
221,S,838,837,177018,176184
222,S,838,837,182816,181986
223,S,838,837,174278,173444
224,S,838,837,175439,174605
225,S,838,837,172863,172031
226,S,838,837,174669,173837
227,S,838,837,177449,176619
228,S,838,837,179593,178765
229,A,838,837,837,0
230,D,838,837,350596,350316
AVG,AVG,838,837,176556,175779
231,S,305,304,24818,24518
232,S,305,304,24214,23914
233,S,305,304,22654,22355
234,S,305,304,22976,22679
235,S,305,304,23185,22885
236,S,305,304,24213,23914
237,S,305,304,22971,22676
238,S,305,304,25069,24772
239,A,305,304,304,0
240,D,305,304,46354,46313
AVG,AVG,305,304,23675.8,23402.6
241,S,343,342,30401,30062
242,S,343,342,31198,30862
243,S,343,342,27485,27146
244,S,343,342,30888,30549
245,S,343,342,30929,30590
246,S,343,342,28673,28336
247,S,343,342,30224,29888
248,S,343,342,29457,29120
249,A,343,342,342,0
250,D,343,342,58650,58604
AVG,AVG,343,342,29824.7,29515.7
251,S,375,374,34260,33890
252,S,375,374,35958,35586
253,S,375,374,33482,33110
254,S,375,374,37358,36988
255,S,375,374,34976,34611
256,S,375,374,35367,35004
257,S,375,374,37259,36890
258,S,375,374,36228,35857
259,A,375,374,374,0
260,D,375,374,70120,70071
AVG,AVG,375,374,35538.2,35200.7
261,S,245,244,14815,14574
262,S,245,244,14980,14741
263,S,245,244,15724,15487
264,S,245,244,15496,15255
265,S,245,244,14161,13920
266,S,245,244,14907,14666
267,S,245,244,15862,15621
268,S,245,244,15298,15059
269,A,245,244,244,0
270,D,245,244,29889,29862
AVG,AVG,245,244,15137.6,14918.5
271,S,129,128,4105,3981
272,S,129,128,3910,3792
273,S,129,128,4079,3958
274,S,129,128,4341,4221
275,S,129,128,4169,4043
276,S,129,128,4633,4509
277,S,129,128,4707,4589
278,S,129,128,4355,4234
279,A,129,128,128,0
280,D,129,128,8256,8244
AVG,AVG,129,128,4268.3,4157.1
281,S,985,984,247885,246904
282,S,985,984,245357,244376
283,S,985,984,238957,237982
284,S,985,984,240215,239234
285,S,985,984,245340,244358
286,S,985,984,244514,243533
287,S,985,984,250700,249719
288,S,985,984,237028,236051
289,A,985,984,984,0
290,D,985,984,484494,484138
AVG,AVG,985,984,243547,242630
291,S,604,603,93203,92607
292,S,604,603,95101,94502
293,S,604,603,90695,90098
294,S,604,603,89250,88652
295,S,604,603,88392,87794
296,S,604,603,91794,91203
297,S,604,603,90090,89495
298,S,604,603,92800,92203
299,A,604,603,603,0
300,D,604,603,182071,181907
AVG,AVG,604,603,91399.9,90846.1
301,S,92,91,2120,2034
302,S,92,91,2535,2449
303,S,92,91,2343,2257
304,S,92,91,1918,1829
305,S,92,91,2179,2092
306,S,92,91,2429,2343
307,S,92,91,2094,2005
308,S,92,91,2053,1967
309,A,92,91,91,0
310,D,92,91,4186,4181
AVG,AVG,92,91,2194.8,2115.7
311,S,853,852,187809,186962
312,S,853,852,185893,185050
313,S,853,852,181014,180169
314,S,853,852,180118,179274
315,S,853,852,181826,180978
316,S,853,852,185062,184219
317,S,853,852,182466,181622
318,S,853,852,181602,180762
319,A,853,852,852,0
320,D,853,852,363302,363030
AVG,AVG,853,852,182994,182207
321,S,439,438,49561,49132
322,S,439,438,47782,47351
323,S,439,438,48645,48215
324,S,439,438,48066,47633
325,S,439,438,48485,48050
326,S,439,438,47911,47481
327,S,439,438,46589,46157
328,S,439,438,51210,50777
329,A,439,438,438,0
330,D,439,438,96129,96039
AVG,AVG,439,438,48481.6,48083.5
331,S,166,165,6356,6198
332,S,166,165,6877,6719
333,S,166,165,6881,6724
334,S,166,165,7189,7027
335,S,166,165,7789,7629
336,S,166,165,6533,6372
337,S,166,165,6502,6339
338,S,166,165,7387,7228
339,A,166,165,165,0
340,D,166,165,13695,13682
AVG,AVG,166,165,6937.4,6791.8
341,S,775,774,148020,147248
342,S,775,774,155695,154927
343,S,775,774,155319,154550
344,S,775,774,142931,142159
345,S,775,774,152546,151781
346,S,775,774,149662,148897
347,S,775,774,152303,151534
348,S,775,774,144663,143892
349,A,775,774,774,0
350,D,775,774,299880,299655
AVG,AVG,775,774,150179,149464
351,S,982,981,236578,235603
352,S,982,981,232498,231525
353,S,982,981,239404,238425
354,S,982,981,238365,237387
355,S,982,981,230257,229282
356,S,982,981,251974,250998
357,S,982,981,240152,239176
358,S,982,981,241151,240175
359,A,982,981,981,0
360,D,982,981,481525,481161
AVG,AVG,982,981,239288,238373
361,S,394,393,38421,38034
362,S,394,393,40344,39957
363,S,394,393,41183,40796
364,S,394,393,38030,37641
365,S,394,393,38912,38525
366,S,394,393,39194,38804
367,S,394,393,41067,40679
368,S,394,393,39092,38703
369,A,394,393,393,0
370,D,394,393,77413,77351
AVG,AVG,394,393,39404.9,39049
371,S,815,814,167947,167138
372,S,815,814,167209,166400
373,S,815,814,158971,158161
374,S,815,814,165871,165061
375,S,815,814,167311,166504
376,S,815,814,168916,168109
377,S,815,814,168614,167808
378,S,815,814,163500,162690
379,A,815,814,814,0
380,D,815,814,331633,331378
AVG,AVG,815,814,166079,165325
381,S,904,903,207553,206656
382,S,904,903,198063,197167
383,S,904,903,206868,205970
384,S,904,903,203929,203032
385,S,904,903,209749,208854
386,S,904,903,201822,200927
387,S,904,903,192659,191763
388,S,904,903,209296,208400
389,A,904,903,903,0
390,D,904,903,408072,407795
AVG,AVG,904,903,203891,203056
391,S,394,393,39676,39286
392,S,394,393,41147,40759
393,S,394,393,38205,37820
394,S,394,393,39698,39309
395,S,394,393,38317,37934
396,S,394,393,40781,40396
397,S,394,393,38284,37899
398,S,394,393,40738,40350
399,A,394,393,393,0
400,D,394,393,77415,77343
AVG,AVG,394,393,39465.4,39109.6
401,S,914,913,210925,210020
402,S,914,913,210307,209402
403,S,914,913,202245,201340
404,S,914,913,207097,206193
405,S,914,913,206832,205927
406,S,914,913,205509,204600
407,S,914,913,211319,210411
408,S,914,913,220348,219442
409,A,914,913,913,0
410,D,914,913,417139,416831
AVG,AVG,914,913,209263,208417
411,S,738,737,134516,133785
412,S,738,737,136516,135787
413,S,738,737,141189,140455
414,S,738,737,137736,137004
415,S,738,737,132821,132091
416,S,738,737,139722,138992
417,S,738,737,139688,138954
418,S,738,737,136733,135999
419,A,738,737,737,0
420,D,738,737,271898,271690
